date,ndvi_mean,LST_Day_1km_mean,LST_Night_1km_mean,precipitation_mean,ET_mean
2002-04-01,0.227510290987092,298.49684075851616,281.5010466412486,2.055945508184,6.8614389474284
2002-05-01,0.2103567284726206,307.68968913704845,286.5178894408988,0.7531972520663737,5.719998874388601
2002-06-01,0.1798405256403135,316.30078474748683,292.1310544318607,0.4129399122759775,2.7482795614661004
2002-07-01,0.179997055769376,319.46843763684694,296.1549713125425,0.0548065580401269,1.4857324151928002
2002-08-01,0.1828967030014376,316.6959919773804,293.08201086789364,0.05681134458204174,1.7616309208781002
2002-09-01,0.1676115484053694,309.58732516003926,286.98882573639656,0.035957323256284986,1.7988216014958
2002-10-01,0.1551074555382345,300.1862566871412,280.21985907950466,0.165727855094954,1.9996350312992999
2002-11-01,0.1462103163870185,287.9234792990911,272.51289365282594,0.34364216932239416,5.2031572160749
2002-12-01,0.0759045058773359,268.0298550920559,261.82497153133664,0.9787744490070394,4.8646831174429
2003-01-01,0.0912062262126374,274.5785969847775,267.64667906758416,0.5600422944762866,6.267487560008701
2003-02-01,0.1044149108611024,277.3610772518778,267.0862284351643,1.069068656014,6.5784210659107005
2003-03-01,0.1428470012715651,287.3446801282524,273.4610636311231,1.6760981375180002,7.2829058109201
2003-04-01,0.1978336976690491,298.5452096719855,280.99093944827234,1.444293580852,6.986635652536801
2003-05-01,0.2119147439089246,307.6843820923836,286.60681179572185,1.0083491826220001,6.6729575997713
2003-06-01,0.1931798260294367,314.8145613656975,291.9844431740174,0.4492141955237624,4.1587632736682005
2003-07-01,0.1864325375954486,317.54595302363595,295.40803530388274,0.06242777092930701,2.4062497292258005
2003-08-01,0.1880764185045626,318.1085372298254,294.75082684826475,0.025019251772678008,1.9441630741367
2003-09-01,0.17884397678827,307.3733927052803,285.1262424598968,0.019645689403585496,2.2976939235267
2003-10-01,0.1571701374520613,299.96846966073787,279.98518735433,0.37995854090754894,2.0775144801573004
2003-11-01,0.1454625032745223,284.05896842787666,272.79793597442745,1.197408685419,5.734103236047701
2003-12-01,0.1318031834059169,276.2744858139328,267.89911352857,0.6907453157473891,5.031059737176
2004-01-01,0.1378566140291734,277.4471289615611,270.13283792890235,0.8512277807813797,6.0797333058221
2004-02-01,0.1526366213617398,284.55784269799227,272.11325445100545,0.7486335870247269,6.112239331776601
2004-03-01,0.1761118406169531,294.2017311443681,275.294462523921,0.9731796233390699,5.842185284510001
