date,precipitation_mean
2020-05-01,8.628022604258676e-05
2020-06-01,1.517813657386719e-05
2020-07-01,1.0292807821050677e-05
2020-08-01,4.727281315942337e-06
2020-09-01,6.261296494124721e-06
2020-10-01,1.6288746014829278e-05
2020-11-01,4.4369018102786436e-05
2020-12-01,3.007557155988857e-05
2021-01-01,3.120378979059847e-05
2021-02-01,5.2252386582166046e-05
2021-03-01,0.00013360553942036012
2021-04-01,3.974135909096602e-05
2021-05-01,3.108595708313792e-05
2021-06-01,8.049775719295597e-06
2021-07-01,6.249150129224098e-06
2021-08-01,2.5701276348818564e-06
2021-09-01,3.073754071705835e-06
2021-10-01,1.8308876569676414e-05
2021-11-01,2.4498937901670877e-05
2021-12-01,4.106350711746149e-05
2022-01-01,6.957735518801697e-05
2022-02-01,3.530955826125852e-05
2022-03-01,0.0001496618047385097
2022-04-01,6.4603462693215e-05
2022-05-01,8.731691430583402e-05
2022-06-01,1.5892757577823234e-05
2022-07-01,2.394555114312054e-06
2022-08-01,2.7287860984741362e-06
2022-09-01,7.471557673171217e-06
2022-10-01,4.8368784774156224e-05
2022-11-01,8.424585302389728e-05
2022-12-01,2.8148238762282906e-05
2023-01-01,3.594171391730499e-05
2023-02-01,8.303873572141652e-05
2023-03-01,4.238402829554406e-05
2023-04-01,3.908927677360032e-05
2023-05-01,4.541077696540595e-05
2023-06-01,1.1250760654225939e-05
2023-07-01,5.8114225639708215e-06
2023-08-01,6.911881120700664e-06
2023-09-01,4.169028698213529e-06
2023-10-01,4.350261570303793e-05
2023-11-01,4.6951857758834235e-05
2023-12-01,4.679585136095522e-05
2024-01-01,6.198000958304098e-05
2024-02-01,5.913911712372595e-05
2024-03-01,0.00011264675938490039
2024-04-01,4.358651615276215e-05
2024-05-01,9.65680958815445e-05
2024-06-01,1.9209842753787405e-05
2024-07-01,5.417034771183636e-06
2024-08-01,8.036816695918364e-06
2024-09-01,8.346126267085732e-06
2024-10-01,5.7157982842894996e-05
2024-11-01,6.973749605382864e-05
2024-12-01,5.326774870967159e-05
2025-01-01,3.789426998631423e-05
2025-02-01,8.241218523535828e-05
2025-03-01,7.660302848863902e-05
2025-04-01,5.642330046244881e-05
2025-05-01,2.7122051345982498e-05
2025-06-01,1.568901175970356e-05
2025-07-01,7.452743468331613e-06
2025-08-01,3.4710319335745357e-06
2025-09-01,8.447409237832128e-06
